;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Frequency modes [Hz];;;;;;;;;;;Frequency difference of modes [Hz];;;;;;;
;;F1;F2;F3;F4;F5;F6;F7;;;;;F1;F2;F3;F4;F5;F6;F7;
;Blade 1;4075;6770;8395;10620;11995;14940;16180;;;;Blade 1;-17;-90;-64;-1;37;-100;-47;
;Blade 2;4130;6895;8530;10575;11980;15255;16250;;;;Blade 2;38;35;71;-46;22;215;23;
;Blade 3;4070;6860;8490;10635;12060;14685;16230;;;;Blade 3;-22;0;31;14;102;-355;3;
;Blade 4;4075;6905;8495;10585;11955;15065;16165;;;;Blade 4;-17;45;36;-36;-3;25;-62;
;Blade 5;4055;6830;8390;10540;11875;14965;16250;;;;Blade 5;-37;-30;-69;-81;-83;-75;23;
;Blade 6;4060;6820;8505;10450;11800;15010;16115;;;;Blade 6;-32;-40;46;-171;-158;-30;-112;
;Blade 7;4085;6795;8455;10630;11875;15010;16330;;;;Blade 7;-7;-65;-4;9;-83;-30;103;
;Blade 8;4125;6805;8330;10495;11985;15075;16300;;;;Blade 8;33;-55;-129;-126;27;35;73;
;Blade 9;4140;6910;8495;10795;12090;15250;16255;;;;Blade 9;48;50;36;174;132;210;28;
;Blade 10;4065;6875;8455;10575;12010;15090;16245;;;;Blade 10;-27;15;-4;-46;52;50;18;
;Blade 11;4100;6940;8490;10785;11850;15090;16195;;;;Blade 11;8;80;31;164;-108;50;-32;
;Blade 12;4105;6895;8480;10655;11915;14940;16210;;;;Blade 12;13;35;21;34;-43;-100;-17;
;Blade 13;4110;6875;8460;10730;12060;15150;16230;;;;Blade 13;18;15;1;109;102;110;3;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Frequency modes [Hz];;;;;;;;;;;;;;;;;;
;;F1;F2;F3;F4;F5;F6;F7;;;;;;;;;;;;
;Average;4092;6860;8459;10621;11958;15040;16227;;;;;;;;;;;;
;Standard deviation;27;49;54;99;86;142;54;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
